vosshen05@gmail.com,,0.00,Account Created.,2025-01-10
vosshen05@gmail.com,debit,5000.00,Salary,2025-01-10
vosshen05@gmail.com,credit,50.00,Stationeries,2025-01-10
vosshen05@gmail.com,credit,20.00,Food,2025-01-10
vosshen05@gmail.com,credit,200.00,Electronics,2025-01-10
vosshen05@gmail.com,credit,700.00,Utility,2025-01-10
vosshen05@gmail.com,credit,500.00,Electronics,2025-01-10
shaif789@gmail.com, ,0.00,Account Created.,2025-01-15
shaif789@gmail.com,debit,500.00,Salary,2025-01-15
shaif789@gmail.com,credit,250.00,Electronics,2025-01-15
shaif789@gmail.com,credit,250.00,Clear balance,2025-01-15
shaif789@gmail.com,debit,500.00,Salary,2025-01-15
shaif789@gmail.com,debit,500.00,Salary 2,2025-01-15
shaif789@gmail.com,debit,500.00,Salary 3,2025-01-15
shaif123@gmail.com,,0.00,Account Created.,2025-01-15
test1@gmail.com,,0.00,Account Created.,2025-01-15
samuel@gmail.com,,0.00,Account Created.,2025-01-14
samuel@gmail.com,debit,500.00,Money In,2025-01-14
samuel@gmail.com,credit,50.00,Money Out,2025-01-14
samuel@gmail.com,debit,500.00,Savings Test 1,2025-01-14
samuel@gmail.com,debit,500.00,Savings Test 2,2025-01-14
samuel@gmail.com,debit,500.00,Savings Disable Test 1,2025-01-14
samuel@gmail.com,debit,500.00,Auto Savings Test 1,2025-01-14
samuel@gmail.com,credit,500.00,Credit Test,2025-01-14
